⑯⑴⒁②⑯⑵	abated
⑯⑶⑾⒀⑷⑵	aggrieved
⑮⑶⑯⑿⑬⑹	agonies
⑯⑶⑾⒊⒎⑿	agrarian
⑯⑶⑾⒀⑬⑩	agreeing
⑯⑶⑾⑲⑿⑵	aground
⒁⑪⑫⑯⑿②	ailment
⒊⑴⑾⒁③⑥	airbrakes
⒊③⑾⑳④②	aircraft
⒊④⒀⑪⑵⑹	airfields
⒊⑥②⑾⑬①	airstrip
⑯⑪⒈⑫⑬⑩	alarming
⒇⑪⑴⒀⑬②	albeit
⑮⑪⑴⒀⑿⒄	albino
⑮⑪⑴⑯⑫⑹	albums
⑮⑪③⑭⑫⑬	alchemy
⑯⑪⒋②⑯⑵	alerted
⑯⑪⒋②⑬⑩	alerting
⑮⑪⑻⒍⒎⑿	algerian
⒁⑪⒎⑿⒁②	alienate
⑯⑪⒂②⑯⑵	alighted
⑮⑪③⑯⑪⒂	alkali
⑯⑪⑭⑻⑯⑹	alleges
⑯⑪⑭⑻⑬⑩	alleging
⑮⑪⑬⑶⒌⑬	allegory
⑯⑪⒋⑻⑬③	allergic
⑮⑪⒌⑻⑬⑹	allergies
⑮⑪⑬⑼⒁⑹	alleyways
⑯⑪⒂⑯⑿⑥	alliance
⑮⑪⑯③⒁②	allocate
⑯⑪⑰②⑯⑵	allotted
⑯⑪⑲⑯⑿⑥	allowance
⑯⑪⒅⑵⑯⑵	alluded
⑯⑪⒅⑵⑬⑩	alluding
⑯⑪⒅⑺⑯⑿	allusion
⑯⑪⒅⑷⒎⑪	alluvial
⒇⑪⑫⒂②⑬	almighty
⑳⑫⑯⑿⑵⑹	almonds
⒇⑪⑫⒄⑥②	almost
⒇⑪⑾⑭⑵⑬	already
⒇⑪②⒌⑬⑩	altering
⑯⑪⒃⑫⑿⒂	alumni
⑮⑫⑯⑧⒌⑹	amateurs
⑯⑫⒁⑹⑯⑹	amazes
⑯⑫⒁⑹⑬⑩	amazing
⑮⑫⑴⒎⑿⑥	ambience
⑮⑫⑴⒎⑿②	ambient
⑮⑫⑴⑯⑪⑵	ambled
⑮⑫⑴⑱⑦②	ambushed
⑯⑫⑭⑿⑵⑹	amends
⒁⑫⒎⑴⑯⑪	amiable
⒁⑫⒎⑴⑪⑬	amiably
⑯⑫⑬⑵⑥②	amidst
⑯⑫⒄⑿⒎⑫	ammonium
⑮⑫⑿⒀⑹⒎	amnesia
⑯⑫⒃⑩⑥②	amongst
⑯⑫⒉④⑯⑥	amorphous
⑯⑫⑲⑿②⑥	amounts
⑯⑫⒏⑹⑬⑩	amusing
⑯⑿⒀⑫⑬③	anaemic
⑮⑿⑯⑪⑰⑶	analogue
⑮⑿⑯⑪⒂⑹	analyse
⑯⑿⒈③⑬③	anarchic
⑮⑩③⒌⑬⑻	anchorage
⒁⑿⑧⑯⑿②	ancient
⑮⑿⑵⑾⒆⑵	android
⒁⑿⑻⑯⑪⑹	angels
⑮⑿⑻⒂⑿⑯	angina
⑮⑩⑶⑯⑪⑵	angled
⑮⑩⑶⑪⒌⑹	anglers
⑮⑩⑶⑯⑪⑹	angles
⑮⑩⑶⑪⑬⑩	angling
⑮⑩⑶⑾⑬⒌	angrier
⑮⑩⑶⑼⑬⑦	anguish
⑮⑿⑬⑫⑯⑪	animal
⑮⑿⑬⑫⑯②	animate
⑮⑩③⑯⑪⑹	ankles
⑯⑿⑭③⑥②	annexed
⑯⑿⑲⑿⑥②	announced
⑯⑿⑲⑿⑥⒌	announcer
⑯⑿⒆⑯⑿⑥	annoyance
⑮⑿⑨⑱⑯⑪	annual
⑯⑿⒏⑬②⑬	annuity
⑮⑿⒌⑮③⑥	anoraks
⑳⑿⑥⒌⑬⑩	answering
⑮⑿②⑭⑿⑯	antenna
⑮⑿②⑭⑿⒀	antennae
⑮⑿⑤⑯⑫⑹	anthems
⑮⑿②⑬③⑥	antics
⑮⑿②⒀③⑥	antiques
⑮⑿②⑪⒌⑹	antlers
⑮⑩③⑦⑯⑥	anxious
⑭⑿⑬⑼⒃⑿	anyone
⑭⑿⑬⑤⑬⑩	anything
⑭⑿⑬②⒂⑫	anytime
⑯①⒈②⒂②	apartheid
⑮①⑬③⑯⑪	apical
⑯①⑰⑥⑯⑪	apostle
⑯①⒇⑪⑬⑩	appalling
⑯①⑮⑾⑯⑪	apparel
⑯①⒀⑪⑬⑩	appealing
⑯①⒍⑯⑿⑥	appearance
⑮①⑯②⒂②	appetite
⑯①⑪⒂⑬⑩	applying
⑯①⒆⑿②⑥	appoints
⑯①⒉⑦⑯⑿	apportion
⑮①⑯⑹⑬②	apposite
⑯①⑾⒁⑹⑵	appraised
⑯①⑾⒄⑧②	approached
⑯①⑾⒅⑷⑵	approved
⑯①⑾⒅⑷⑹	approves
⑯①⑾⑰③⑥	approx
⒁①⑾⑯⑿⑹	aprons
⑯③⑼⒊⒎⑫	aquarium
⑮⑾⑯⑴⑬③	arabic
⑮⑾⑯⑴⑯⑪	arable
⒈③⑬②⒂①	archetype
⒈⑫①⑬②⑥	armpits
⒌⒁⑿⑻⑯⑹	arranges
⒌⒁⑿⑻⑬⑩	arranging
⒌⑭⑥②⑯⑵	arrested
⒌⑭⑥②⑬⑩	arresting
⒌⒂⑷⑯⑪⑹	arrivals
⒈⑥⑯⑿⑯⑪	arsenal
⒈⑥⑯⑿⑬③	arsenic
⒈②⑬③⑯⑪	article
⒈②⑬④⑬⑥	artifice
⒈②⑬⑪⒌⑬	artillery
⒈②⑬⑹⑮⑿	artisan
⒈②⒀⑥②⑥	artistes
⒈②⑬⑥②⑥	artists
⒈②⑼⒋③⑥	artworks
⑯⑥⑭⑿②⑥	ascents
⑮⑥⒌②⒁⑿	ascertain
⑯⑥⑭②⑬③	ascetic
⑯⑥③⑾⒂⑴	ascribe
⑮⑦②⑾⒁⑹	ashtrays
⑯⑥③⑮⑿⑥	askance
⑮⑥①⑭③②	aspect
⑮⑥④⒇⑪②	asphalt
⑯⑥①⒂⒌⑵	aspired
⑮⑥①⒌⑬⑿	aspirin
⑯⑥⑮⑥⑬⑿	assassin
⑯⑥⒇⑪②⑥	assaults
⑯⑥⒋②⑯⑵	asserted
⑯⑥⒋②⑬⑩	asserting
⑯⑥⒋⑦⑯⑿	assertion
⑯⑥⒋②⑬⑷	assertive
⑯⑥⑭⑥⑯⑹	assesses
⑯⑥⑭⑥⑬⑩	assessing
⑯⑥⑭⑥⒌⑹	assessors
⑯⑥⒂⑿⑬⑩	assigning
⑯⑥⑬⑥②⑥	assists
⑯⑥⒂⑹⑯⑹	assizes
⑯⑥⒄⑦⒎②	associate
⑯⑥⒉②⑯⑵	assorted
⑯⑥⒏⑫⑬⑩	assuming
⑯⑦⑱⒌⑬⑩	assuring
⑯⑥②⑾⒂⑵	astride
⑯⑥⒂⑪⑯⑫	asylum
⒁⑤⑬⑬⑥②	atheist
⑯⑤⒀⑿⒎⑿	athenian
⑮⑤⑪⒀②⑥	athletes
⑯②⑰⑫⑬③	atomic
⑮②⑾⑯④⑬	atrophy
⑯②⑮⑧⑯⑹	attaches
⑯②⑮⑧⑬⑩	attaching
⑯②⑮③⒌⑹	attackers
⑯②⑮③⑬⑩	attacking
⑯②⒁⑿⑬⑩	attaining
⑯②⑭⑫①②	attempt
⑯②⑭⑿⑵⑹	attends
⑯②⑭⑥②⑥	attests
⑮②⑬②⒏⑵	attitude
⑯②⑾⑮③②	attract
⒇③⑦⑯⑿⑵	auctioned
⒇③⑦⑯⑿⒍	auctioneer
⒇③⑦⑯⑿⑹	auctions
⒇⑵⒁⑦⑯⑥	audacious
⒇⑵⑯⑴⑯⑪	audible
⒇⑵⑯⑴⑪⑬	audibly
⒇⑵⑬②⑯⑵	audited
⒇⑵⑬②⑬⑩	auditing
⒇⑵⑬⑦⑯⑿	audition
⒇⑵⑬②⒌⑹	auditors
⒇⑵⑬②⒌⑬	auditory
⒇⑶⑫⑭⑿②	augment
⑰⑥②⑾⒎⑿	austrian
⒇⑤⒌⒂⑹⑵	authorised
⒇⑤⒌⑦⑬①	authorship
⒇②⑰①⑥⑬	autopsy
⑮⑷⑯⑿⒏⑹	avenues
⑮⑷⒌⑬⑻⑵	averaged
⑯⑷⒋⑺⑯⑿	aversion
⑯⑷⒋②⑯⑵	averted
⑮⑷⑬⑵⑪⑬	avidly
⑯⑷⒆⑵⑯⑵	avoided
⑯⑷⒆⑵⑬⑩	avoiding
⑯⑼⒁②⑯⑵	awaited
⑯⑼⒁②⑬⑩	awaiting
⑯⑼⒁③⑯⑿	awaken
⑯⑼⒉⑵⑯⑵	awarded
⑯⑼⒉⑵⑬⑩	awarding
⑯⑼⒊⑿⑯⑥	awareness
⑯⑼⒄③⑯⑿	awoken
⑮③⑥⒎⑫⑹	axioms
⑮③⑥⑯⑪⑹	axles
⑯⑹⒁⑪⒎⑹	azaleas
⑴⑯⑴⒅⑿⑹	baboons
⑴⑮⑧⑯⑪⒌	bachelor
⑴⑮③⑴⒄⑿	backbone
⑴⑮③⑪⑮⑦	backlash
⑴⑮③⑪⑰⑶	backlog
⑴⑮③⑾⒅⑫	backroom
⑴⑮③⑥⒂⑵	backside
⑴⑮③⑼⒌⑵	backward
⑴⑮③⑨⒈⑵	backyard
⑴⑮③②⒍⒎	bacteria
⑴⑮④⑯⑪⑵	baffled
⑴⑮④⑪⑬⑩	baffling
⑴⒁⑪⑬④⑥	bailiffs
⑴⑮⑪⑯⑿⑥	balance
⑴⒇⑪⑵⑪⑬	baldly
⑴⒁⑪④⑯⑪	baleful
⑴⑮⑪⑯⑵⑹	ballads
⑴⑮⑪⑯⑥②	ballast
⑴⑯⑪⒅⑿⑹	balloons
⑴⑮⑪⑯②⑥	ballots
⑴⒇⑪⑾⒅⑫	ballroom
⑴⒇⑪②⑬③	baltic
⑴⑯⑿⑳⑿⑯	banana
⑴⑮⑿⑵⑬⑻	bandage
⑴⑮⑿⑵⑬②	bandit
⑴⑮⑿⑬⑦②	banished
⑴⑮⑩③⒌⑹	bankers
⑴⑮⑩③⑬⑩	banking
⑴⒈⑴⒊⒎⑿	barbarian
⑴⒈⑴⒌⑯⑥	barbarous
⑴⒈⑴⑬③⒏	barbecue
⑴⒈⑶⑬⑿⑵	bargained
⑴⒈⑶⑬⑿⑹	bargains
⑴⒌⒄⑿⒎⑪	baronial
⑴⑮⑾⑯⑿⑹	barons
⑴⑮⑾⑯③⑥	barracks
⑴⑮⑾⑯⑪⑹	barrels
⑴⑮⑥⒇⑪②	basalt
⑴⒁⑥⑴⒇⑪	baseball
⑴⒁⑥⑪⒂⑿	baseline
⑴⒁⑥⑬③⑥	basics
⑴⒁⑥⑯⑿⑹	basins
⑴⑳⑥③⑯②	basket
⑴⑳⑥③⑬⑩	basking
⑴⑳⑥②⒌⑵	bastard
⑴⑮⑥②⒎⑿	bastion
⑴⑳⑤⑾⒅⑫	bathroom
⑴⑮②⑯⑿⑹	battens
⑴⑮②⒌⑬⑹	batteries
⑴⑮②⒌⑬⑩	battering
⑴⑮②⑯⑪⑵	battled
⑴⑮②⑯⑪⑹	battles
⑴⑮②⑪⑬⑩	battling
⑴⒇③⑥⒂②	bauxite
⑴⒁⑯⑿⑭②	bayonet
⑴⒀③⑯⑿⑹	beacons
⑴⒊⑯⑴⑯⑪	bearable
⑴⒀⑥②⑪⑬	beastly
⑴⒀②⑬⑩⑹	beatings
⑴⑭③⑯⑿⑵	beckoned
⑴⑭③⑯⑿⑹	beckons
⑴⑬③⒃⑫⑹	becomes
⑴⑭⑵⑾⑰③	bedrock
⑴⑭⑵⑾⒅⑫	bedroom
⑴⑭⑵⑥⒂⑵	bedside
⑴⑭⑵⑥⑬②	bedsit
⑴⑭⑵②⒂⑫	bedtime
⑴⒀②⑯⑪⑹	beetles
⑴⑬④⑬②⑥	befits
⑴⑬⑶⑬⑿⒌	beginner
⑴⑬⑶⑬⑿⑹	begins
⑴⑬⑽⒁⑷⑵	behaved
⑴⑬⑽⒁⑷⑹	behaves
⑴⑬⑽⒂⑿⑵	behind
⑴⑬⑽⒄⑪⑵	behold
⑴⑭⑪④⑾⑬	belfry
⑴⑭⑪⑻⑯⑿	belgian
⑴⑬⑪⒀④⑥	beliefs
⑴⑬⑪⒀⑷⑵	believed
⑴⑬⑪⒀⑷⒌	believer
⑴⑬⑪⒀⑷⑹	believes
⑴⑭⑪⒄⑬⑩	bellowing
⑴⑬⑪⑰⑩⑵	belonged
⑴⑬⑪⑰⑩⑹	belongs
⑴⑬⑫⒏⑹⑵	bemused
⑴⑭⑿⑧⑯⑹	benches
⑴⑭⑿⑵⑬⑩	bending
⑴⑭⑿⑹⒀⑿	benzene
⑴⑬⑾⒀⑷⑵	bereaved
⑴⑬⑥⒂⑵⑹	besides
⑴⑬⑥⒀⑻⑵	besieged
⑴⑬⑥②⒄⑵	bestowed
⑴⑬②⑾⒁⑵	betrayed
⑴⑬②⑾⒁⑹	betrays
⑴⑬②⑼⒀⑿	between
⑴⑭⑷⒌⑬⑻	beverage
⑴⑬⑼⑬⑧②	bewitched
⑴⑬⑨⑰⑿⑵	beyond
⑴⒂⑯⑥⑯⑹	biases
⑴⒂⑴⑯⑪⑹	bibles
⑴⒂⑥⑭①⑥	biceps
⑴⒂⑭⑿⒎⑪	biennial
⑴⑬⑶⑯⑥②	biggest
⑴⑬③⒀⑿⑬	bikini
⑴⑬⑪⑨⒌⑵	billiard
⑴⑬⑪⑨⑯⑿	billion
⑴⑬⑪⒄⑬⑩	billowing
⑴⒂⑿⑵⑬⑩	binding
⑴⒂⒄⑥④⒍	biosphere
⑴⒂①⑪⒁⑿	biplane
⑴⒋⑤⑵⒁⑹	birthdays
⑴⒋⑤⑾⒂②	birthright
⑴⑬⑥③⑬②	biscuit
⑴⑬⑦⑯①⑥	bishops
⑴⑬⑹⑫⑯⑤	bismuth
⑴⒀⑥②⑾⒄	bistro
⑴⑬②⒌⑪⑬	bitterly
⑴⑪⑮③⑲②	blackout
⑴⑪⒁⑫⑬⑩	blaming
⑴⑪⑮⑩③⑥	blanks
⑴⑪⑳⑥②⑥	blasts
⑴⑪⒁⑹⑬⑩	blazing
⑴⑪⒀③⑪⑬	bleakly
⑴⑪⒀⑵⑬⑩	bleeding
⑴⑪⑭⑫⑬⑦	blemish
⑴⑪⑭⑿⑵⑹	blends
⑴⑪⑭⑥⑯⑵	blessed
⑴⑪⑭⑥⑬⑩	blessing
⑴⑪⒂②⑯⑵	blighted
⑴⑪⒂⑿⑵⑹	blinds
⑴⑪⑬⑩③②	blinked
⑴⑪⑬⑥②⒌	blister
⑴⑪⒂⑸⑪⑬	blithely
⑴⑪⑬⑹⒌⑵	blizzard
⑴⑪⒄②⑯⑵	bloated
⑴⑪⑰③⒁⑵	blockade
⑴⑪⑰③⑬⑻	blockage
⑴⑪⑰③⑬⑩	blocking
⑴⑪⑰⑿⑵⑹	blondes
⑴⑪⒅⑫⑬⑩	blooming
⑴⑪⑰⑥⑯⑫	blossom
⑴⑪⑰②⑯⑵	blotted
⑴⑪⑰②⑬⑩	blotting
⑴⑪⑲⑹⑯⑹	blouses
⑴⑪⒃⑿⑵⒌	blunder
⑴⑪⒋②⑯⑵	blurted
⑴⑪⒃⑦⑬⑩	blushing
⑴⒉⑵⑾⒅⑫	boardroom
⑴⒄⑥②⑯⑵	boasted
⑴⒄⑥②⑬⑩	boasting
⑴⒄②⑫⑯⑿	boatman
⑴⒄②⑫⑭⑿	boatmen
⑴⒄②⑨⒈⑵	boatyard
⑴⑰⑵⑬⑪⑬	bodily
⑴⑰④⑬⑿⑹	boffins
⑴⒄⑪⑵⑪⑬	boldly
⑴⑰⑪⒈⑵⑹	bollards
⑴⑰⑪⑯③⑥	bollocks
⑴⒄⑪⑥②⒌	bolster
⑴⒄⑪②⑯⑵	bolted
⑴⒄⑪②⑬⑩	bolting
⑴⑰⑫⑬⑩⑹	bombings
⑴⑰⑫⑦⑭⑪	bombshell
⑴⑰⑿⑵⑬⑻	bondage
⑴⑰⑿⑵⑯⑵	bonded
⑴⑰⑿⑵⑬⑩	bonding
⑴⑰⑿④⒂⒌	bonfire
⑴⑰⑿⑯⑫⑬	bonhomie
⑴⑰⑿⑯②⑥	bonnets
⑴⑱③③⒁⑥	bookcase
⑴⑱③⑬⑩⑹	bookings
⑴⑱③⑪⑯②	booklet
⑴⑱③⑦⑰①	bookshop
⑴⒅⑥②⑯⑵	boosted
⑴⒅⑥②⑬⑩	boosting
⑴⒉⑵⒌⑬⑩	bordering
⑴⑰⑾⒄⒌⑹	borrowers
⑴⑰⑾⒄⑬⑩	borrowing
⑴⒉⑥②⑯⑪	borstal
⑴⑰②⑯⑿⑬	botany
⑴⑰⑸⒌⑬⑩	bothering
⑴⑰②⑯⑪⑵	bottled
⑴⑰②⑯⑪⑹	bottles
⑴⑰②⑯⑫⑹	bottoms
⑴⒄⑪⑵⒌⑹	boulders
⑴⑲⑿⑥⒌⑹	bouncers
⑴⑲⑿⑥⑬⑩	bouncing
⑴⑲⑿⑵⑾⑬	boundary
⑴⑲⑿⑵⑯⑵	bounded
⑴⑲⑿⑵⑬⑩	bounding
⑴⑱⒌⑺⑼⑳	bourgeois
⑴⒅②⒀③⑥	boutiques
⑴⑰③⑥⒌⑹	boxers
⑴⑰③⑥⑯⑹	boxes
⑴⑰③⑥⑬⑩	boxing
⑴⑾⒁⑥⑯⑹	braces
⑴⑾⒁⑥⑬⑩	bracing
⑴⑾⑮③⑯⑿	bracken
⑴⑾⑮③⑯②	bracket
⑴⑾⑮③⑬⑦	brackish
⑴⑾⑮⑿⑵⑹	brands
⑴⑾⑮⑿⑵⑬	brandy
⑴⑾⑳⑥⑯⑹	brasses
⑴⑾⒁⑷⑪⑬	bravely
⑴⑾⒁⑷⒌⑬	bravery
⑴⑾⒁⑹⑯⑿	brazen
⑴⑾⒀⑧⑯⑹	breaches
⑴⑾⒀⑧⑬⑩	breaching
⑴⑾⒁③⑬⑻	breakage
⑴⑾⒁③⒌⑹	breakers
⑴⑾⒁③⑬⑩	breaking
⑴⑾⑭⑥②⑥	breasts
⑴⑾⒀⑸⑬⑩	breathing
⑴⑾⑬⑧⑯⑹	breeches
⑴⑾⒀⑵⒌⑹	breeders
⑴⑾⒀⑵⑬⑩	breeding
⑴⑾⒀⑹⑯⑹	breezes
⑴⑾⒅⒌⑬⑹	breweries
⑴⑾⒂⑴⒌⑬	bribery
⑴⑾⒂⑵⑯⑪	bridle
⑴⑾⑬⑻⑯⑹	bridges
⑴⑾⑬⑻⑬⑩	bridging
⑴⑾⒀④⑬⑩	briefing
⑴⑾⒀④⑪⑬	briefly
⑴⑾⒂②⑯⑿	brighten
⑴⑾⒂②⑪⑬	brightly
⑴⑾⑬⑫⑬⑩	brimming
⑴⑾⑬⑩⑬⑩	bringing
⑴⑾⑬②⑬⑦	british
⑴⑾⑬②⑯⑿	briton
⑴⑾⑬②⑯⑪	brittle
⑴⑾⒇⑵⑯⑿	broaden
⑴⑾⒇⑵⑪⑬	broadly
⑴⑾⒄③⒁⑵	brocade
⑴⑾⒄⑦⒌⑹	brochures
⑴⑾⒄③⑯⑿	broken
⑴⑾⒄③⒌⑹	brokers
⑴⑾⒄⑫⒂⑵	bromide
⑴⑾⑰⑿⑹⑵	bronzed
⑴⑾⒄⑧⑯⑹	brooches
⑴⑾⒅⑵⑯⑵	brooded
⑴⑾⒅⑵⑬⑩	brooding
⑴⑾⑰⑤⑯⑪	brothel
⑴⑾⒃⑸⒌⑹	brothers
⑴⑾⑲⑿⑬⑹	brownies
⑴⑾⑲⑿⑬⑦	brownish
⑴⑾⑲⑹⑬⑩	browsing
⑴⑾⒅⑹⑯⑹	bruises
⑴⑾⒅⑹⑬⑩	bruising
⑴⑾⒅⑿⑭②	brunette
⑴⑾⒃⑦⑯⑹	brushes
⑴⑾⒃⑦⑬⑩	brushing
⑴⑾⒅②⑯⑪	brutal
⑴⑾⒅②⑬⑦	brutish
⑴⒀⑭⑥⑥⒀	bsc
⑴⒀⑭⑥②⒀	bst
⑴⒃⑴⑯⑪⑵	bubbled
⑴⒃⑴⑯⑪⑹	bubbles
⑴⒃⑴⑪⑬⑩	bubbling
⑴⒃③⑯②⑥	buckets
⑴⒃③⑯⑪⑹	buckles
⑴⑱⑵⑬⑥②	buddhist
⑴⒃⑻⑯②⑥	budgets
⑴⒃④⑯⑪⒄	buffalo
⑴⑬⑪⑵⒌⑹	builders
⑴⑬⑪⑵⑬⑩	building
⑴⒃⑪⑴⑯⑥	bulbous
⑴⒃⑪⑻⑬⑩	bulging
⑴⑱⑪⑵⑰⑶	bulldog
⑴⑱⑪⑯②⑥	bullets
⑴⑱⑪⑯③⑥	bullocks
⑴⑱⑪⑦⑬②	bullshit
⑴⑱⑪⑬⑬⑩	bullying
⑴⑱⑪⑼⒌③	bulwark
⑴⒃⑫①⑬⑩	bumping
⑴⒃⑿⑧⑯⑹	bunches
⑴⒃⑿⑵⑯⑪	bundle
⑴⒃⑩③⒌⑹	bunkers
⑴⒃⑿②⑬⑩	bunting
⑴⒆⑯⑿⑥⑬	buoyancy
⑴⒋⑵⑯⑿⑵	burdened
⑴⒋⑵⑯⑿⑹	burdens
⑴⑨⑱⒌⒄⑹	bureaux
⑴⒋⑶⑪⒌⑹	burglars
⑴⒋⑶⑪⒌⑬	burglary
⑴⒋⑶⑯⑪⑵	burgled
⑴⑭⑾⒎⑪⑹	burials
⑴⒋⑿⑬⑦②	burnished
⑴⒃⑾⒄⑬⑩	burrowing
⑴⒋⑥⒌⑬⑹	bursaries
⑴⒋⑥②⑬⑩	bursting
⑴⑭⑾⑬⑬⑩	burying
⑴⑬⑹⑬⑪⑬	busily
⑴⑬⑹⑿⑯⑥	business
⑴⒃⑥⑯⑪⑵	bustled
⑴⒃⑥⑪⑬⑩	bustling
⑴⒃②⑯③⑥	buttocks
⑴⒃②⑯⑿⑵	buttoned
⑴⒃②⑯⑿⑹	buttons
⑴⒃②⑾⑯⑥	buttress
⑴⒃⑹⒌⑵⑹	buzzards
⑴⒂①⑳⑥②	bypassed
③⑮⑴⑬⑿⑹	cabins
③⒁⑴⑯⑪⑹	cables
③⑮③②⑯⑥	cactus
③⑯⑵⑭②⑥	cadets
③⑮⑵⑫⒎⑫	cadmium
③⑳⑵⑾⑯⑹	cadres
③⑮⑪⑥⒎⑫	calcium
③⑮⑪⑬⑴⒌	calibre
③⑮⑪⑬③⒄	calico
③⑳⑫⑿⑯⑥	calmness
③⑮⑪⒌⑬⑹	calories
③⑮⑫⑯⑪⑹	camels
③⑮⑫⑬⒄⑹	cameos
③⑮⑫⒌⑯⑹	cameras
③⑮⑫①⒁⑿	campaign
③⑮⑫①⒌⑹	campers
③⑮⑫①⑬⑩	camping
③⑮⑫①⑯⑥	campus
③⑯⑿⑮⑪⑹	canals
③⑯⑿⒊⑬⑹	canaries
③⑮⑿⑥⑯⑪	cancel
③⑮⑿⑥⒌⑹	cancers
③⑮⑿⑵⑬⑵	candid
③⑮⑿⑵⑯⑪	candle
③⑮⑿⑯⑿⑹	canons
③⑯⑿⒅⑬⑩	canoeing
③⑮⑿⑨⑯⑿	canon
③⑮⑿⑯①⑬	canopy
③⑮⑿②⒀⑿	canteen
③⑮⑿②⑰⑿	canton
③⑮⑿②⒄⑹	cantos
③⑮⑿⑷⑯⑥	canvas
③⑮①⑥⒏⑪	capsule
③⑮①②⑬⑿	captain
③⑮①⑦⑯⑿	caption
③⑮①②⑬⑷	captive
③⑮①②⒌⑹	captors
③⑮①⑧⒌⑵	captured
③⑮①⑧⒌⑹	captures
③⒈⑵⑴⒉⑵	cardboard
③⒈⑵⑬⑮③	cardiac
③⒊④⑯⑪⑬	carefully
③⒌⑭⑥⑯⑹	caresses
③⒌⑭⑥⑬⑩	caressing
③⒊②⒁③⒌	caretaker
③⑮⑾⑯⑪⑹	carols
③⒈①⑯②⑥	carpets
③⑮⑾⑬⒌⑹	carriers
③⑮⑾⑯②⑥	carrots
③⑮⑾⑬⑬⑩	carrying
③⒈②⑭⑪⑹	cartels
③⒈②⑯⑿⑹	cartons
③⒈②⒅⑿⑹	cartoons
③⒈②⑾⑬⑻	cartridge
